Feb 25, 2019 12:49:14 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Feb 25, 2019 12:49:14 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Feb 25, 2019 12:49:15 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/alpine/odl/lock
Feb 25, 2019 12:49:15 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Feb 25, 2019 12:49:15 PM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2019-02-25 12:49:21,853 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.deployer.blueprint/4.0.10
2019-02-25 12:49:21,862 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.deployer.kar/4.0.10
2019-02-25 12:49:21,869 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.deployer.features/4.0.10
2019-02-25 12:49:21,925 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   jline/2.14.1
2019-02-25 12:49:21,926 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11.1
2019-02-25 12:49:21,927 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.jaas.config/4.0.10
2019-02-25 12:49:21,939 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.jaas.modules/4.0.10
2019-02-25 12:49:21,957 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.karaf.shell.core/4.0.10
2019-02-25 12:49:22,009 | INFO  | pool-2-thread-1  | CommandExtension                 | 46 - org.apache.karaf.shell.core - 4.0.10 | Registering commands for bundle org.apache.karaf.deployer.kar/4.0.10
2019-02-25 12:49:22,325 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   org.apache.sshd.core/0.14.0
